type,count,granted_avg,rejected_avg,timeout_avg,error_avg,granted_count,rejected_count,timeout_count,error_count
BatchingSqlite,256,99.60346399270739,8.90390625,0,0,1097,1280,0,0
BatchingSqlite,256,126.74809160305344,10.20078125,0,0,1048,1280,0,0
BatchingSqlite,256,98.98743267504489,7.96484375,0,0,1114,1280,0,0
BatchingSqlite,512,351.6896962477665,14,0,0,1679,2560,0,0
BatchingSqlite,512,380.66179275270184,15.197265625,0,0,1573,2560,0,0
BatchingSqlite,512,381.0490909090909,13.221875,0,0,1650,2560,0,0
BatchingSqlite,512,331.9904019196161,12.90078125,0,0,1667,2560,0,0
BatchingDqlite,2,3.1,0.7,0,0,10,10,0,0
BatchingDqlite,2,3.1,0.7,0,0,10,10,0,0
BatchingDqlite,2,3.2,1,0,0,10,10,0,0
BatchingDqlite,2,3.6,1,0,0,10,10,0,0
BatchingDqlite,4,5.25,0.9,0,0,20,20,0,0
BatchingDqlite,4,5.1,0.6,0,0,20,20,0,0
BatchingDqlite,4,5.6,0.9,0,0,20,20,0,0
BatchingDqlite,4,5.2,0.75,0,0,20,20,0,0
BatchingDqlite,8,3.975,0.875,0,0,40,40,0,0
BatchingDqlite,8,3.275,0.9,0,0,40,40,0,0
BatchingDqlite,8,3.9,0.8,0,0,40,40,0,0
BatchingDqlite,8,3.3,0.675,0,0,40,40,0,0
BatchingDqlite,16,3.35,1.0625,0,0,80,80,0,0
BatchingDqlite,16,3.2,1.0375,0,0,80,80,0,0
BatchingDqlite,16,3.725,0.85,0,0,80,80,0,0
BatchingDqlite,16,3.4125,1.2,0,0,80,80,0,0
BatchingDqlite,32,2.86875,1.45,0,0,160,160,0,0
BatchingDqlite,32,4.16875,1.58125,0,0,160,160,0,0
BatchingDqlite,32,2.94375,1.2,0,0,160,160,0,0
BatchingDqlite,32,3.03125,1.28125,0,0,160,160,0,0
BatchingDqlite,64,6.65625,4.5,0,0,320,320,0,0
BatchingDqlite,64,5.321875,4.25625,0,0,320,320,0,0
BatchingDqlite,64,9.103125,3.203125,0,0,320,320,0,0
BatchingDqlite,64,5.015625,3.38125,0,0,320,320,0,0
BatchingDqlite,128,8.1015625,5.7515625,0,0,640,640,0,0
BatchingDqlite,128,9.271875,6.7328125,0,0,640,640,0,0
BatchingDqlite,128,7.2734375,6.4625,0,0,640,640,0,0
BatchingDqlite,128,7.0421875,6.1125,0,0,640,640,0,0
BatchingDqlite,256,8.76328125,9.596875,0,0,1280,1280,0,0
BatchingDqlite,256,11.83359375,10.18515625,0,0,1280,1280,0,0
BatchingDqlite,256,9.6,7.75859375,0,0,1280,1280,0,0
BatchingDqlite,256,9.5015625,10.4640625,0,0,1280,1280,0,0
BatchingDqlite,512,14.267578125,16.650390625,0,0,2560,2560,0,0
BatchingDqlite,512,13.80859375,14.60078125,0,0,2560,2560,0,0
BatchingDqlite,512,12.158984375,16.03125,0,0,2560,2560,0,0
BatchingDqlite,512,12.296484375,14.930859375,0,0,2560,2560,0,0
SconeDqlite,2,30,28.8,0,0,10,10,0,0
SconeDqlite,2,29.2,28.2,0,0,10,10,0,0
SconeDqlite,2,44.7,43.6,0,0,10,10,0,0
SconeDqlite,4,29.416666666666668,31.666666666666668,1001,5.25,12,12,4,4
SconeDqlite,4,34.95,23.2,0,0,20,20,0,0
SconeDqlite,4,37.45,35.25,0,0,20,20,0,0
