type,count,granted_avg,rejected_avg,timeout_avg,error_avg,granted_count,rejected_count,timeout_count,error_count
Sqlite,2,2.7,0,0,0,10,10,0,0
Sqlite,2,2.7,0.5,0,0,10,10,0,0
Sqlite,2,2.3,0.5,0,0,10,10,0,0
Sqlite,4,4.55,0,0,0,20,20,0,0
Sqlite,4,2.75,0.35,0,0,20,20,0,0
Sqlite,4,4.05,0,0,0,20,20,0,0
Sqlite,8,9.075,0.05,0,0,40,40,0,0
Sqlite,8,5.525,0.25,0,0,40,40,0,0
Sqlite,8,5.325,0.375,0,0,40,40,0,0
Sqlite,16,10.8,2.8375,0,0,80,80,0,0
Sqlite,16,16.95,2.775,0,0,80,80,0,0
Sqlite,16,16.425,2.0875,0,0,80,80,0,0
Sqlite,32,21.775,3.73125,0,0,160,160,0,0
Sqlite,32,17.5125,4.03125,0,0,160,160,0,0
Sqlite,32,19.45625,3.44375,0,0,160,160,0,0
Sqlite,64,34.78125,5.521875,0,0,320,320,0,0
Sqlite,64,38.9125,6.109375,0,0,320,320,0,0
Sqlite,64,38.88125,6.934375,0,0,320,320,0,0
Sqlite,128,79.74155405405405,7.98125,0,0,592,640,0,0
Sqlite,128,45.990228013029316,10.3046875,0,0,614,640,0,0
Sqlite,128,41.30470016207455,6.5484375,0,0,617,640,0,0
Dqlite,2,1.5,0.4,0,0,10,10,0,0
Dqlite,2,1.6,0,0,0,10,10,0,0
Dqlite,2,1.3,0.2,0,0,10,10,0,0
Dqlite,4,2.2,0.2,0,0,20,20,0,0
Dqlite,4,2.75,0,0,0,20,20,0,0
Dqlite,4,2.75,0.2,0,0,20,20,0,0
Dqlite,8,2.05,0.375,0,0,40,40,0,0
Dqlite,8,1.7,0.15,0,0,40,40,0,0
Dqlite,8,1.85,0.35,0,0,40,40,0,0
Dqlite,16,2.85,1.4625,0,0,80,80,0,0
Dqlite,16,2.7,1.4875,0,0,80,80,0,0
Dqlite,16,4.35,2.5625,0,0,80,80,0,0
Dqlite,32,4.3125,3.68125,0,0,160,160,0,0
Dqlite,32,4.0625,3.40625,0,0,160,160,0,0
Dqlite,32,3.10625,2.0125,0,0,160,160,0,0
Dqlite,64,4.525,4.325,0,0,320,320,0,0
Dqlite,64,4.003125,3.778125,0,0,320,320,0,0
Dqlite,64,5.671875,5.271875,0,0,320,320,0,0
Dqlite,128,6.5359375,7.590625,0,0,640,640,0,0
Dqlite,128,8.790625,9.103125,0,0,640,640,0,0
Dqlite,128,8.203125,8.1359375,0,0,640,640,0,0
