type,count,granted_avg,rejected_avg,timeout_avg,error_avg,granted_count,rejected_count,timeout_count,error_count
Native,2,1.5,0.4,0,0,10,10,0,0
Native,2,1.6,0,0,0,10,10,0,0
Native,2,1.3,0.2,0,0,10,10,0,0
Native,4,2.2,0.2,0,0,20,20,0,0
Native,4,2.75,0,0,0,20,20,0,0
Native,4,2.75,0.2,0,0,20,20,0,0
Native,8,2.05,0.375,0,0,40,40,0,0
Native,8,1.7,0.15,0,0,40,40,0,0
Native,8,1.85,0.35,0,0,40,40,0,0
Native,16,2.85,1.4625,0,0,80,80,0,0
Native,16,2.7,1.4875,0,0,80,80,0,0
Native,16,4.35,2.5625,0,0,80,80,0,0
Native,32,4.3125,3.68125,0,0,160,160,0,0
Native,32,4.0625,3.40625,0,0,160,160,0,0
Native,32,3.10625,2.0125,0,0,160,160,0,0
Native,64,4.525,4.325,0,0,320,320,0,0
Native,64,4.003125,3.778125,0,0,320,320,0,0
Native,64,5.671875,5.271875,0,0,320,320,0,0
Native,128,6.5359375,7.590625,0,0,640,640,0,0
Native,128,8.790625,9.103125,0,0,640,640,0,0
Native,128,8.203125,8.1359375,0,0,640,640,0,0
Scone,2,14.8,13.2,0,0,10,10,0,0
Scone,2,16.3,14.7,0,0,10,10,0,0
Scone,2,15,13.5,0,0,10,10,0,0
Scone,4,14,14.65,0,0,20,20,0,0
Scone,4,17.55,17.75,0,0,20,20,0,0
Scone,4,16.55,17.85,0,0,20,20,0,0
Scone,8,20.75,26.55,0,0,40,40,0,0
Scone,8,19.15,22.275,0,0,40,40,0,0
Scone,8,22.1,22.025,0,0,40,40,0,0
Scone,16,21.1,29.7375,0,0,80,80,0,0
Scone,16,20.975,27.65,0,0,80,80,0,0
Scone,16,20.3625,31.65,0,0,80,80,0,0
Scone,32,27.69375,41.93125,0,0,160,160,0,0
Scone,32,27.625,41.325,0,0,160,160,0,0
Scone,32,27.85,46.7,0,0,160,160,0,0
Scone,64,40.294871794871796,69.47569444444444,0,0,312,288,0,0
Scone,64,40.796178343949045,66.8961937716263,0,0,314,289,0,0
Scone,64,40.40255591054313,68.99307958477509,0,0,313,289,0,0
Scone,128,282.49658314350796,323.7048780487805,0,0,439,410,0,0
Scone,128,262.47544642857144,315.24413145539904,0,0,448,426,0,0
Scone,128,245.859375,293.8428246013667,0,0,448,439,0,0
